Month,cumulative_return_pct,drawdown_pct
0.000000000000000000e+00,-7.147113395246041279e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.847716798818025552e+01,-1.220215655754735806e+01
2.000000000000000000e+00,-9.552251889222485914e+00,-2.590267876060061258e+00
3.000000000000000000e+00,-4.172234956029885922e+00,0.000000000000000000e+00
4.000000000000000000e+00,-4.207894531887435008e+00,-3.721215436618613426e-02
5.000000000000000000e+00,-1.596824314043199244e+00,0.000000000000000000e+00
6.000000000000000000e+00,3.507390701563628532e+00,0.000000000000000000e+00
7.000000000000000000e+00,6.131670171281911053e-01,-2.796151718770069294e+00
8.000000000000000000e+00,-2.314370461104675591e+00,-5.624488379666892079e+00
9.000000000000000000e+00,9.065220298458331882e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.141574862659900802e+01,0.000000000000000000e+00
1.100000000000000000e+01,2.106120402518885015e+01,-2.920087430101994119e-01
1.200000000000000000e+01,2.867246973596233772e+01,0.000000000000000000e+00
1.300000000000000000e+01,3.300753736302945640e+01,0.000000000000000000e+00
1.400000000000000000e+01,3.432317867333398453e+01,0.000000000000000000e+00
1.500000000000000000e+01,3.491365867078280161e+01,0.000000000000000000e+00
1.600000000000000000e+01,3.957452918757391558e+01,0.000000000000000000e+00
1.700000000000000000e+01,3.905423134223120485e+01,-3.727742076824097639e-01
1.800000000000000000e+01,4.306266675667267663e+01,0.000000000000000000e+00
1.900000000000000000e+01,3.645376098628598527e+01,-4.619587988783577792e+00
2.000000000000000000e+01,4.380883463333884720e+01,0.000000000000000000e+00
2.100000000000000000e+01,4.136546650614238985e+01,-1.699038959085001022e+00
2.200000000000000000e+01,4.962547712892460083e+01,0.000000000000000000e+00
2.300000000000000000e+01,3.720655526114562406e+01,-8.300004855622432842e+00
2.400000000000000000e+01,3.873103591683278069e+01,-7.281140498537242323e+00
2.500000000000000000e+01,4.616059241037200422e+01,-2.315705042220525645e+00
2.600000000000000000e+01,3.612100861646860750e+01,-9.025514084020151984e+00
2.700000000000000000e+01,3.542791173722086029e+01,-9.488735249627005430e+00
2.800000000000000000e+01,2.843463179126808171e+01,-1.416259165408120602e+01
2.900000000000000000e+01,4.102088864209206065e+01,-5.750750909113784282e+00
