variable,mean,std,min,max,median
returns,0.004242484923452139,0.12240783125162125,-0.9374629259109497,5.011845111846924,0.0
prices,58.34991455078125,671.513427734375,0.0014539331896230578,14415.0703125,1.0
factor_ret_1_0,0.024693120270967484,0.10031864047050476,-0.8016085624694824,4.432003974914551,0.015199069865047932
factor_ret_3_1,-0.001066797412931919,0.12168076634407043,-0.9136085510253906,4.1540961265563965,-0.02008996717631817
factor_ret_6_1,0.08237778395414352,0.19480670988559723,-0.9999961256980896,8.25589370727539,0.07464057207107544
factor_ret_12_1,0.41576439142227173,0.6933357119560242,-0.9999961256980896,7.082125663757324,0.18671010434627533
factor_be_me,1.0214052200317383,0.5198277235031128,0.00274516548961401,15.781974792480469,0.9727460741996765
factor_at_me,2.400320291519165,2.669424057006836,0.0,110.79370880126953,2.1187288761138916
factor_sale_me,1.068426489830017,1.0468889474868774,0.0,39.161190032958984,1.0232949256896973
factor_ni_me,-0.03227633982896805,0.26231375336647034,-9.261197090148926,3.275351047515869,0.010524122975766659
factor_ocf_me,0.024600012227892876,0.24944408237934113,-8.653030395507812,5.387993335723877,0.06743884086608887
factor_ebitda_mev,0.05674506351351738,0.1609272062778473,-3.3816275596618652,5.394534111022949,0.05308202654123306
