date,asset,ret_1_0,ret_3_1,ret_6_1,ret_12_1,be_me,at_me,sale_me,ni_me,ocf_me,ebitda_mev
2010-01-04,204794,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,204923,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,204975,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,205050,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,205138,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,205310,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,206095,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,206155,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,206382,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,206445,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,206530,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,206584,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,206666,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,206853,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,207104,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,207187,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,207659,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,208122,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,208166,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,208316,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,208394,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,208469,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,208483,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,208639,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,209038,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,209325,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,209338,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
