Using device: cuda
Loading data from /work/nvme/bemc/abagchi2/finance-diffusion/data/data_clean.pt...
  Shape: 150 months, 200 assets, 115 factors (subset of 350)
Epoch 1/1000  Loss: 0.905274
Epoch 2/1000  Loss: 0.643607
Epoch 3/1000  Loss: 0.441217
Epoch 4/1000  Loss: 0.301363
Epoch 5/1000  Loss: 0.192195
Epoch 6/1000  Loss: 0.110565
Epoch 7/1000  Loss: 0.072493
Epoch 8/1000  Loss: 0.059840
Epoch 9/1000  Loss: 0.066024
Epoch 10/1000  Loss: 0.037866
Epoch 11/1000  Loss: 0.037549
Epoch 12/1000  Loss: 0.048953
Epoch 13/1000  Loss: 0.051602
Epoch 14/1000  Loss: 0.057855
Epoch 15/1000  Loss: 0.038263
Epoch 16/1000  Loss: 0.044121
Epoch 17/1000  Loss: 0.052786
Epoch 18/1000  Loss: 0.058634
Epoch 19/1000  Loss: 0.052075
Epoch 20/1000  Loss: 0.045067
Epoch 21/1000  Loss: 0.033628
Epoch 22/1000  Loss: 0.056747
Epoch 23/1000  Loss: 0.044484
Epoch 24/1000  Loss: 0.045374
Epoch 25/1000  Loss: 0.029102
Epoch 26/1000  Loss: 0.026787
Epoch 27/1000  Loss: 0.034155
Epoch 28/1000  Loss: 0.049371
Epoch 29/1000  Loss: 0.054110
Epoch 30/1000  Loss: 0.054209
Epoch 31/1000  Loss: 0.034603
Epoch 32/1000  Loss: 0.063836
Epoch 33/1000  Loss: 0.057102
Epoch 34/1000  Loss: 0.071887
Epoch 35/1000  Loss: 0.066675
Epoch 36/1000  Loss: 0.020991
Epoch 37/1000  Loss: 0.049090
Epoch 38/1000  Loss: 0.034624
Epoch 39/1000  Loss: 0.034772
Epoch 40/1000  Loss: 0.042063
Epoch 41/1000  Loss: 0.046836
Epoch 42/1000  Loss: 0.047290
Epoch 43/1000  Loss: 0.038748
Epoch 44/1000  Loss: 0.040989
Epoch 45/1000  Loss: 0.023694
Epoch 46/1000  Loss: 0.036309
Epoch 47/1000  Loss: 0.056539
Epoch 48/1000  Loss: 0.021135
Epoch 49/1000  Loss: 0.036407
Epoch 50/1000  Loss: 0.034580
Epoch 51/1000  Loss: 0.066290
Epoch 52/1000  Loss: 0.040990
Epoch 53/1000  Loss: 0.061738
Epoch 54/1000  Loss: 0.058992
Epoch 55/1000  Loss: 0.063285
Epoch 56/1000  Loss: 0.040543
Epoch 57/1000  Loss: 0.027130
Epoch 58/1000  Loss: 0.061902
Epoch 59/1000  Loss: 0.024851
Epoch 60/1000  Loss: 0.029783
Epoch 61/1000  Loss: 0.026616
Epoch 62/1000  Loss: 0.042598
Epoch 63/1000  Loss: 0.039946
Epoch 64/1000  Loss: 0.066759
