variable,mean,std,min,max,median
returns,0.004242484923452139,0.12240783125162125,-0.9374629259109497,5.011845111846924,0.0
prices,58.34991455078125,671.513427734375,0.0014539331896230578,14415.0703125,1.0
factor_me,35.68965530395508,499.3262634277344,0.03354963660240173,27262.47265625,13.668703079223633
factor_market_equity,35.68965530395508,499.3262634277344,0.03354963660240173,27262.47265625,13.668703079223633
factor_div12m_me,0.02800816297531128,0.012163860723376274,0.0,0.25397276878356934,0.02930590882897377
factor_chcsho_12m,0.008733678609132767,0.2234582006931305,-0.5,10.039440155029297,0.0
factor_eqnpo_12m,0.0011094196233898401,0.08247882127761841,-2.4014742374420166,2.5892930030822754,2.1510571102112408e-16
factor_ret_1_0,0.024693120270967484,0.10031864047050476,-0.8016085624694824,4.432003974914551,0.015199069865047932
factor_ret_3_1,-0.001066797412931919,0.12168076634407043,-0.9136085510253906,4.1540961265563965,-0.02008996717631817
factor_ret_6_1,0.08237778395414352,0.19480670988559723,-0.9999961256980896,8.25589370727539,0.07464057207107544
factor_ret_9_1,0.2569924592971802,0.3268325626850128,-0.9999961256980896,9.099886894226074,0.2066543847322464
factor_ret_12_1,0.41576439142227173,0.6933357119560242,-0.9999961256980896,7.082125663757324,0.18671010434627533
factor_ret_12_7,0.3060283958911896,0.6249948740005493,-0.6867308616638184,3.9171040058135986,0.13707594573497772
factor_ret_60_12,-0.41100773215293884,0.32123762369155884,-0.9888657927513123,10.078558921813965,-0.3846610486507416
factor_seas_1_1an,0.010645258240401745,0.1823452115058899,-0.9061821699142456,1.5101631879806519,-0.03628503158688545
factor_seas_1_1na,0.047731850296258926,0.02674200013279915,-0.11782640218734741,0.37397855520248413,0.044509295374155045
factor_seas_2_5an,0.019529929384589195,0.027310626581311226,-0.30137965083122253,0.6738629341125488,0.015787288546562195
factor_seas_2_5na,-0.004002056550234556,0.007780776359140873,-0.05689992010593414,0.15708674490451813,-0.002721813041716814
factor_seas_6_10an,-0.0011703730560839176,0.016035638749599457,-0.13904286921024323,0.3142663836479187,-0.00033488209010101855
factor_seas_6_10na,0.02088869735598564,0.010812959633767605,-0.023448478430509567,0.22135184705257416,0.021961627528071404
factor_seas_11_15an,0.049139514565467834,0.049374718219041824,-0.043342769145965576,0.5237859487533569,0.048680029809474945
factor_seas_11_15na,0.009223120287060738,0.021795349195599556,-0.01695389114320278,0.07498832046985626,0.0
factor_seas_16_20an,0.004812849219888449,0.04176461324095726,-0.08743425458669662,0.12617121636867523,0.0
factor_seas_16_20na,0.0008580430876463652,0.006923631299287081,-0.022525347769260406,0.030770279467105865,0.0
factor_at_gr1,-0.030030755326151848,0.24959920346736908,-0.9499561190605164,15.644983291625977,-0.029078463092446327
factor_sale_gr1,-0.07234165072441101,1.6089030504226685,-1.0,114.71208190917969,-0.11951810866594315
factor_capx_gr1,-0.18078020215034485,0.6842504739761353,-1.5174089670181274,40.9102897644043,-0.19787286221981049
factor_inv_gr1,-0.12135038524866104,0.2567597031593323,-1.0,12.942634582519531,-0.13729839026927948
factor_debt_gr3,1.7634799480438232,58.961700439453125,-1.0,3234.095703125,0.19272273778915405
factor_sale_gr3,0.2018459290266037,0.45251721143722534,-1.0,23.927339553833008,0.22251299023628235
factor_capx_gr3,0.3003166913986206,5.005148887634277,-7.490262508392334,223.51914978027344,-0.06274285167455673
factor_inv_gr1a,-0.0023506314028054476,0.03335263207554817,-2.152419328689575,0.405192106962204,0.0
factor_lti_gr1a,4.663098934543086e-06,0.02789577841758728,-1.249682068824768,0.828807532787323,0.0
factor_sti_gr1a,0.0005205924971960485,0.02268902398645878,-0.9401655197143555,0.5453899502754211,0.0
factor_coa_gr1a,-0.017295753583312035,0.07125352323055267,-4.289000988006592,0.8887158036231995,-0.011559566482901573
factor_col_gr1a,-0.010543744079768658,0.1477186232805252,-9.598923683166504,0.737327516078949,-0.0008437331416644156
factor_cowc_gr1a,-0.006539503578096628,0.13017356395721436,-1.0034198760986328,8.80814266204834,-0.007200618274509907
factor_ncoa_gr1a,-0.010895860381424427,0.2030031830072403,-14.153470039367676,0.7463595867156982,-0.006009457632899284
factor_ncol_gr1a,-0.001086314325220883,0.01029995921999216,-0.2915817201137543,0.23545674979686737,0.0
factor_nncoa_gr1a,-0.016813138499855995,0.1251775473356247,-5.344409942626953,0.5379316210746765,-0.018603065982460976
factor_fnl_gr1a,-0.012768080458045006,0.059794556349515915,-2.2637650966644287,0.6415234208106995,0.0
factor_nfna_gr1a,0.01177244447171688,0.06678785383701324,-1.4342437982559204,2.2637650966644287,0.0
factor_tax_gr1a,-0.0008512427448295057,0.01833898015320301,-1.1234116554260254,0.22917334735393524,-0.00018471978546585888
factor_be_gr1a,-0.026513034477829933,0.27430468797683716,-19.001693725585938,0.504206120967865,-0.019925853237509727
factor_ebit_sale,-0.0867229476571083,7.925830841064453,-536.6099243164062,0.9660975337028503,0.05002020299434662
factor_gp_at,0.17872627079486847,0.14323225617408752,-6.104536533355713,3.617647171020508,0.2088698446750641
factor_cop_at,0.10914845019578934,0.17789320647716522,-9.185983657836914,5.211726188659668,0.10504768043756485
factor_ope_be,0.052323270589113235,1.2538670301437378,-92.02325439453125,3.599696397781372,0.07034990936517715
factor_ni_be,-0.018460718914866447,1.2532775402069092,-79.18128967285156,4.112760066986084,0.015237370505928993
factor_ebit_bev,0.03695502504706383,0.3949146568775177,-24.556962966918945,6.0977630615234375,0.04203193634748459
factor_netis_at,0.07602524012327194,0.14145483076572418,-1.3639640808105469,3.529005527496338,0.0518878698348999
