Month,cumulative_return_pct,drawdown_pct
0.000000000000000000e+00,-1.482716811224390518e+01,0.000000000000000000e+00
1.000000000000000000e+00,-1.387450304239189514e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.492994531439728689e+01,0.000000000000000000e+00
3.000000000000000000e+00,4.565927253910124506e+01,0.000000000000000000e+00
4.000000000000000000e+00,6.139172106196155454e+01,0.000000000000000000e+00
5.000000000000000000e+00,6.919976299140158460e+01,0.000000000000000000e+00
6.000000000000000000e+00,9.732039073183915434e+01,0.000000000000000000e+00
7.000000000000000000e+00,8.554182547198192310e+01,-5.969259038852969823e+00
8.000000000000000000e+00,5.672828604378617001e+01,-2.057167256533613653e+01
9.000000000000000000e+00,1.110490712539664599e+02,0.000000000000000000e+00
1.000000000000000000e+01,1.477839486921645005e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.675845151684271173e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.873110215796950229e+02,0.000000000000000000e+00
1.300000000000000000e+01,1.767169084278379785e+02,-3.687332665917126384e+00
1.400000000000000000e+01,1.686218060795413862e+02,-6.504872453811900712e+00
1.500000000000000000e+01,1.636321376019706690e+02,-8.241550862444757541e+00
1.600000000000000000e+01,1.822324464775306865e+02,-1.767622792214697647e+00
1.700000000000000000e+01,1.857108961348854450e+02,-5.569314521789147099e-01
1.800000000000000000e+01,1.986684974101828516e+02,0.000000000000000000e+00
1.900000000000000000e+01,1.889121616487147719e+02,-3.266610253756466076e+00
2.000000000000000000e+01,1.899292091273753442e+02,-2.926083051374715804e+00
2.100000000000000000e+01,1.866526769369571923e+02,-4.023129515504658471e+00
2.200000000000000000e+01,2.176668279322645390e+02,0.000000000000000000e+00
2.300000000000000000e+01,1.919694420001686694e+02,-8.089414339720208957e+00
2.400000000000000000e+01,1.855958460139183330e+02,-1.009579191069173909e+01
2.500000000000000000e+01,2.100775293970925475e+02,-2.389074926183771375e+00
2.600000000000000000e+01,1.953249653948281264e+02,-7.033111603801765810e+00
2.700000000000000000e+01,1.364485651913566926e+02,-2.556712114607986308e+01
2.800000000000000000e+01,1.155045752268418084e+02,-3.216018914130705753e+01
2.900000000000000000e+01,6.248532124266685628e+01,-4.885039703226478736e+01
