Month,cumulative_return_pct,drawdown_pct
0.000000000000000000e+00,-7.905123023946003968e+00,0.000000000000000000e+00
1.000000000000000000e+00,-2.459813560099595264e+01,-1.812588617668470903e+01
2.000000000000000000e+00,-1.382869994406629210e+01,-6.432037387939939954e+00
3.000000000000000000e+00,-9.248638271672682265e+00,-1.458838202183741828e+00
4.000000000000000000e+00,-7.447927863999681541e+00,0.000000000000000000e+00
5.000000000000000000e+00,-6.456835425385010652e+00,0.000000000000000000e+00
6.000000000000000000e+00,-4.051874919841369049e+00,0.000000000000000000e+00
7.000000000000000000e+00,-8.739969853692574731e+00,-4.886072478691990462e+00
8.000000000000000000e+00,-5.359316960017313392e+00,-1.362655121136960412e+00
9.000000000000000000e+00,1.304870584336259576e+01,0.000000000000000000e+00
1.000000000000000000e+01,2.153176174849544822e+01,0.000000000000000000e+00
1.100000000000000000e+01,3.082348393716398505e+01,0.000000000000000000e+00
1.200000000000000000e+01,4.344454124254890814e+01,0.000000000000000000e+00
1.300000000000000000e+01,5.032975690697214333e+01,0.000000000000000000e+00
1.400000000000000000e+01,5.129640017022201448e+01,0.000000000000000000e+00
1.500000000000000000e+01,5.293304132329830480e+01,0.000000000000000000e+00
1.600000000000000000e+01,5.288457881315456177e+01,-3.168871142641117855e-02
1.700000000000000000e+01,4.950635863847870155e+01,-2.240642476566971020e+00
1.800000000000000000e+01,4.949524164186323105e+01,-2.247911668703966193e+00
1.900000000000000000e+01,4.407337965676003932e+01,-5.793163850857937724e+00
2.000000000000000000e+01,4.474081026769376734e+01,-5.356743699192250574e+00
2.100000000000000000e+01,3.411711483655126642e+01,-1.230337559673589176e+01
2.200000000000000000e+01,4.140848569430832526e+01,-7.535687205666468991e+00
2.300000000000000000e+01,3.502357488406060781e+01,-1.171065865368247749e+01
2.400000000000000000e+01,3.279739405482781933e+01,-1.316631585491546730e+01
2.500000000000000000e+01,3.604047824452229776e+01,-1.104572493393418320e+01
2.600000000000000000e+01,2.307112730341733808e+01,-1.952613624860875419e+01
2.700000000000000000e+01,2.218368048983223417e+01,-2.010642080049379743e+01
2.800000000000000000e+01,1.556003207841454383e+01,-2.443749821428973945e+01
2.900000000000000000e+01,2.588199328416143175e+01,-1.768816457405206322e+01
