Month,cumulative_return_pct,drawdown_pct
0.000000000000000000e+00,-2.412369057423327945e+01,0.000000000000000000e+00
1.000000000000000000e+00,-4.874327205533780472e+01,-3.244699388278273489e+01
2.000000000000000000e+00,-4.036320731188914834e+01,-2.140261810098113671e+01
3.000000000000000000e+00,-3.756910892311450567e+01,-1.772017965668648642e+01
4.000000000000000000e+00,-2.686455037123904788e+01,-3.612273471637481137e+00
5.000000000000000000e+00,-2.980400390059427806e+01,-7.486280459080156824e+00
6.000000000000000000e+00,-2.993164321073877687e+01,-7.654500699486755266e+00
7.000000000000000000e+00,-3.413659628485545028e+01,-1.319635309766695386e+01
8.000000000000000000e+00,-3.587955699178701252e+01,-1.549346100907251866e+01
9.000000000000000000e+00,-1.642846656433253472e+01,0.000000000000000000e+00
1.000000000000000000e+01,-8.382287338689764056e+00,0.000000000000000000e+00
1.100000000000000000e+01,-5.460571870892527713e+00,0.000000000000000000e+00
1.200000000000000000e+01,-1.238337612170870017e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.262575978591629067e+00,0.000000000000000000e+00
1.400000000000000000e+01,-2.680672243064341487e+00,-3.894082471396167477e+00
1.500000000000000000e+01,-5.403090743892313697e+00,-6.582556939135050911e+00
1.600000000000000000e+01,1.732905757966030080e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.081375596574232212e+01,0.000000000000000000e+00
1.800000000000000000e+01,5.030081555674392746e+00,-5.219274772469587376e+00
1.900000000000000000e+01,1.691476820240023216e+00,-8.232081897394770920e+00
2.000000000000000000e+01,2.107881139806346837e+01,0.000000000000000000e+00
2.100000000000000000e+01,8.581382292052786909e+00,-1.032173091284441924e+01
2.200000000000000000e+01,1.891493018856327168e+01,-1.787167535207641045e+00
2.300000000000000000e+01,1.336446588477882003e+01,-6.371342288194033365e+00
2.400000000000000000e+01,2.236061618362108305e+01,0.000000000000000000e+00
2.500000000000000000e+01,6.052961496466371472e+01,0.000000000000000000e+00
2.600000000000000000e+01,3.272743996992311111e+01,-1.731903175568483277e+01
2.700000000000000000e+01,4.331519409999977910e+01,-1.072351719486829857e+01
2.800000000000000000e+01,2.231330391502135413e+01,-2.380639301706044364e+01
2.900000000000000000e+01,-7.000457023056960715e-01,-3.814228338903899385e+01
